RAW: 0xed3, VOLTS: 3.057495 V
RAW: 0xea7, VOLTS: 3.022046 V
RAW: 0xe15, VOLTS: 2.904419 V
RAW: 0xd29, VOLTS: 2.714282 V
RAW: 0xbf1, VOLTS: 2.462915 V
RAW: 0xa6c, VOLTS: 2.149512 V
RAW: 0x8d0, VOLTS: 1.817578 V
RAW: 0x720, VOLTS: 1.469531 V
RAW: 0x55f, VOLTS: 1.107788 V
RAW: 0x3cb, VOLTS: 0.782300 V
RAW: 0x268, VOLTS: 0.496289 V
RAW: 0x149, VOLTS: 0.265063 V
RAW: 0x083, VOLTS: 0.105542 V
RAW: 0x019, VOLTS: 0.020142 V
RAW: 0x01a, VOLTS: 0.020947 V
RAW: 0x077, VOLTS: 0.095874 V
RAW: 0x13b, VOLTS: 0.253784 V
RAW: 0x258, VOLTS: 0.483398 V
RAW: 0x3b7, VOLTS: 0.766187 V
RAW: 0x545, VOLTS: 1.086841 V
RAW: 0x703, VOLTS: 1.446167 V
RAW: 0x8b8, VOLTS: 1.798242 V
RAW: 0xa61, VOLTS: 2.140649 V
RAW: 0xbdf, VOLTS: 2.448413 V
RAW: 0xd1d, VOLTS: 2.704614 V
RAW: 0xe0d, VOLTS: 2.897974 V
RAW: 0xea4, VOLTS: 3.019629 V
RAW: 0xed4, VOLTS: 3.058301 V
RAW: 0xe9f, VOLTS: 3.015600 V
RAW: 0xe06, VOLTS: 2.892334 V
RAW: 0xd12, VOLTS: 2.695752 V
RAW: 0xbce, VOLTS: 2.434717 V
RAW: 0xa46, VOLTS: 2.118896 V
RAW: 0x8a4, VOLTS: 1.782129 V
RAW: 0x6ec, VOLTS: 1.427637 V
RAW: 0x53d, VOLTS: 1.080395 V
RAW: 0x3a8, VOLTS: 0.754102 V
RAW: 0x249, VOLTS: 0.471313 V
RAW: 0x134, VOLTS: 0.248145 V
RAW: 0x073, VOLTS: 0.092651 V
RAW: 0x015, VOLTS: 0.016919 V
RAW: 0x01a, VOLTS: 0.020947 V
RAW: 0x088, VOLTS: 0.109570 V
RAW: 0x154, VOLTS: 0.273926 V
RAW: 0x272, VOLTS: 0.504346 V
RAW: 0x3dc, VOLTS: 0.795996 V
RAW: 0x572, VOLTS: 1.123096 V
RAW: 0x721, VOLTS: 1.470337 V
RAW: 0x8e2, VOLTS: 1.832080 V
RAW: 0xa84, VOLTS: 2.168848 V
RAW: 0xbff, VOLTS: 2.474194 V
RAW: 0xd39, VOLTS: 2.727173 V
RAW: 0xe21, VOLTS: 2.914087 V
RAW: 0xeaa, VOLTS: 3.024463 V
RAW: 0xed4, VOLTS: 3.058301 V
RAW: 0xe94, VOLTS: 3.006738 V
RAW: 0xdf1, VOLTS: 2.875415 V
RAW: 0xcef, VOLTS: 2.667554 V
RAW: 0xbad, VOLTS: 2.408130 V
RAW: 0xa29, VOLTS: 2.095532 V
RAW: 0x87e, VOLTS: 1.751514 V
RAW: 0x6c3, VOLTS: 1.394604 V
RAW: 0x513, VOLTS: 1.046558 V
RAW: 0x388, VOLTS: 0.728320 V
RAW: 0x237, VOLTS: 0.456812 V
RAW: 0x11b, VOLTS: 0.228003 V
RAW: 0x068, VOLTS: 0.083789 V
RAW: 0x011, VOLTS: 0.013696 V
RAW: 0x023, VOLTS: 0.028198 V
RAW: 0x096, VOLTS: 0.120850 V
RAW: 0x16c, VOLTS: 0.293262 V
RAW: 0x29a, VOLTS: 0.536572 V
RAW: 0x400, VOLTS: 0.825000 V
RAW: 0x59b, VOLTS: 1.156128 V
RAW: 0x752, VOLTS: 1.509814 V
RAW: 0x90d, VOLTS: 1.866724 V
RAW: 0xaac, VOLTS: 2.201074 V
RAW: 0xc1d, VOLTS: 2.498364 V
RAW: 0xd4f, VOLTS: 2.744897 V
RAW: 0xe30, VOLTS: 2.926172 V
RAW: 0xebd, VOLTS: 3.039770 V
RAW: 0xed6, VOLTS: 3.059912 V
RAW: 0xe89, VOLTS: 2.997876 V
RAW: 0xdde, VOLTS: 2.860107 V
RAW: 0xcd9, VOLTS: 2.649829 V
RAW: 0xb89, VOLTS: 2.379126 V
RAW: 0xa00, VOLTS: 2.062500 V
RAW: 0x852, VOLTS: 1.716064 V
RAW: 0x699, VOLTS: 1.360767 V
RAW: 0x4ec, VOLTS: 1.015137 V
RAW: 0x35e, VOLTS: 0.694482 V
RAW: 0x209, VOLTS: 0.419751 V
RAW: 0x107, VOLTS: 0.211890 V
RAW: 0x05a, VOLTS: 0.072510 V
RAW: 0x010, VOLTS: 0.012891 V
RAW: 0x025, VOLTS: 0.029810 V
RAW: 0x0a8, VOLTS: 0.135352 V
RAW: 0x186, VOLTS: 0.314209 V
RAW: 0x2b5, VOLTS: 0.558325 V
RAW: 0x425, VOLTS: 0.854810 V
RAW: 0x5c6, VOLTS: 1.190771 V
RAW: 0x77a, VOLTS: 1.542041 V
RAW: 0x93a, VOLTS: 1.902979 V
RAW: 0xad1, VOLTS: 2.230884 V
RAW: 0xc3d, VOLTS: 2.524145 V
RAW: 0xd69, VOLTS: 2.765845 V
RAW: 0xe41, VOLTS: 2.939868 V
RAW: 0xebd, VOLTS: 3.039770 V
RAW: 0xecf, VOLTS: 3.054272 V
RAW: 0xe7c, VOLTS: 2.987402 V
RAW: 0xdcb, VOLTS: 2.844800 V
RAW: 0xcb9, VOLTS: 2.624048 V
RAW: 0xb66, VOLTS: 2.350928 V
RAW: 0x9d7, VOLTS: 2.029468 V
RAW: 0x82d, VOLTS: 1.686255 V
RAW: 0x66e, VOLTS: 1.326123 V
RAW: 0x4c1, VOLTS: 0.980493 V
RAW: 0x33c, VOLTS: 0.667090 V
RAW: 0x1f3, VOLTS: 0.402026 V
RAW: 0x0f6, VOLTS: 0.198193 V
RAW: 0x04d, VOLTS: 0.062036 V
RAW: 0x00c, VOLTS: 0.009668 V
RAW: 0x02e, VOLTS: 0.037061 V
RAW: 0x0c2, VOLTS: 0.156299 V
RAW: 0x19d, VOLTS: 0.332739 V
RAW: 0x2d8, VOLTS: 0.586523 V
RAW: 0x44c, VOLTS: 0.886230 V
RAW: 0x5ed, VOLTS: 1.222192 V
RAW: 0x7a5, VOLTS: 1.576685 V
RAW: 0x959, VOLTS: 1.927954 V
RAW: 0xaf8, VOLTS: 2.262305 V
RAW: 0xc5a, VOLTS: 2.547510 V
RAW: 0xd81, VOLTS: 2.785181 V
RAW: 0xe55, VOLTS: 2.955981 V
RAW: 0xec1, VOLTS: 3.042993 V
